"WORD";"FREQUENCY";"NOOFFILES";"TF";"IDF";"TFIDF";"FLAG"
"freeze";2.0;2.0;0.0;0.0;0.0;1.0
"laddakh";1.0;1.0;0.0;0.0;0.0;1.0
"kozhikode";3.0;2.0;0.0;0.0;0.0;1.0
"akhil";2.0;2.0;0.0;0.0;0.0;1.0
"sensit";2.0;2.0;0.0;0.0;0.0;1.0
"disaster";5.0;1.0;0.0;0.0;0.0;1.0
"que";1.0;1.0;0.0;0.0;0.0;1.0
"vaidyanath";1.0;1.0;0.0;0.0;0.0;1.0
"ire";3.0;3.0;0.0;0.0;0.0;1.0
"shastryji";2.0;2.0;0.0;0.0;0.0;1.0
"mirza";1.0;1.0;0.0;0.0;0.0;1.0
"gate";1.0;1.0;0.0;0.0;0.0;1.0
"aga";1.0;1.0;0.0;0.0;0.0;1.0
"sule";6.0;1.0;0.0;0.0;0.0;1.0
"english";2.0;2.0;0.0;0.0;0.0;1.0
"ilmi";5.0;3.0;0.0;0.0;0.0;1.0
"rajinder";3.0;2.0;0.0;0.0;0.0;1.0
"exposure";1.0;1.0;0.0;0.0;0.0;1.0
"raghva";1.0;1.0;0.0;0.0;0.0;1.0
"pccs";4.0;1.0;0.0;0.0;0.0;1.0
"subvers";2.0;1.0;0.0;0.0;0.0;1.0
"everybody";8.0;8.0;0.0;0.0;0.0;1.0
"kidnappe";1.0;1.0;0.0;0.0;0.0;1.0
"journalist";2.0;2.0;0.0;0.0;0.0;1.0
"rae";2.0;2.0;0.0;0.0;0.0;1.0
"implementate";3.0;3.0;0.0;0.0;0.0;1.0
"piece";3.0;3.0;0.0;0.0;0.0;1.0
"consumer";11.0;7.0;0.0;0.0;0.0;1.0
"protect";11.0;7.0;0.0;0.0;0.0;1.0
"stakeholder";3.0;2.0;0.0;0.0;0.0;1.0
"terrorist";16.0;10.0;0.0;0.0;0.0;1.0
"infrastructure";19.0;11.0;0.0;0.0;0.0;1.0
"demolit";6.0;4.0;0.0;0.0;0.0;1.0
"hall";2.0;2.0;0.0;0.0;0.0;1.0
"bazar";1.0;1.0;0.0;0.0;0.0;1.0
"sadar";1.0;1.0;0.0;0.0;0.0;1.0
"mar";1.0;1.0;0.0;0.0;0.0;1.0
"order";40.0;32.0;0.0;0.0;0.0;1.0
"plant";2.0;2.0;0.0;0.0;0.0;1.0
"cancer";2.0;2.0;0.0;0.0;0.0;1.0
"wife";35.0;26.0;0.0;0.0;0.0;1.0
"gudakhu";15.0;1.0;0.0;0.0;0.0;1.0
"sjp";2.0;2.0;0.0;0.0;0.0;1.0
"responde";3.0;3.0;0.0;0.0;0.0;1.0
"msp";2.0;2.0;0.0;0.0;0.0;1.0
"hd";1.0;1.0;0.0;0.0;0.0;1.0
"motu";1.0;1.0;0.0;0.0;0.0;1.0
"contin";1.0;1.0;0.0;0.0;0.0;1.0
"fiji";1.0;1.0;0.0;0.0;0.0;1.0
"asg";3.0;1.0;0.0;0.0;0.0;1.0
"investigate";18.0;10.0;0.0;0.0;0.0;1.0
"mr";4.0;3.0;0.0;0.0;0.0;1.0
"clarific";3.0;3.0;0.0;0.0;0.0;1.0
"commonwealth";4.0;2.0;0.0;0.0;0.0;1.0
"arunachal";2.0;2.0;0.0;0.0;0.0;1.0
"calibre";1.0;1.0;0.0;0.0;0.0;1.0
"exist";3.0;3.0;0.0;0.0;0.0;1.0
"breakup";1.0;1.0;0.0;0.0;0.0;1.0
"kuala";1.0;1.0;0.0;0.0;0.0;1.0
"ebcs";1.0;1.0;0.0;0.0;0.0;1.0
"javadekar";2.0;1.0;0.0;0.0;0.0;1.0
"hmv";1.0;1.0;0.0;0.0;0.0;1.0
"bhagwant";1.0;1.0;0.0;0.0;0.0;1.0
"pranab";8.0;6.0;0.0;0.0;0.0;1.0
"indo";3.0;3.0;0.0;0.0;0.0;1.0
"fighter";2.0;2.0;0.0;0.0;0.0;1.0
"ebc";1.0;1.0;0.0;0.0;0.0;1.0
"duo";3.0;2.0;0.0;0.0;0.0;1.0
"tagore";1.0;1.0;0.0;0.0;0.0;1.0
"sankranti";3.0;3.0;0.0;0.0;0.0;1.0
"patparganj";1.0;1.0;0.0;0.0;0.0;1.0
"rinku";1.0;1.0;0.0;0.0;0.0;1.0
"mishra";8.0;6.0;0.0;0.0;0.0;1.0
"corporator";2.0;2.0;0.0;0.0;0.0;1.0
"jana";3.0;1.0;0.0;0.0;0.0;1.0
"kanubhai";2.0;1.0;0.0;0.0;0.0;1.0
"bastion";3.0;2.0;0.0;0.0;0.0;1.0
"yasin";5.0;2.0;0.0;0.0;0.0;1.0
"trichy";10.0;3.0;0.0;0.0;0.0;1.0
"g";21.0;15.0;0.0;0.0;0.0;1.0
"chennai";5.0;3.0;0.0;0.0;0.0;1.0
